name,medium,context,description,time,lat,lon,place
Russian,Unknown,Food,Unknown; Food,2017-07-19 13:01:15 EEST,51.3346351,12.3748542,GERMANY
English,Unknown,Food,Unknown; Food,2017-07-19 14:25:35 EEST,51.33295784,12.37222217,GERMANY
English,Billboard,Service,Billboard; Service,2017-07-19 14:27:10 EEST,51.33242986,12.3712145,GERMANY
Denglish,Billboard,Food,Billboard; Food,2017-07-19 14:42:23 EEST,51.33253648,12.3736533,GERMANY
Denglish,Billboard,Service,Billboard; Service,2017-07-19 14:43:40 EEST,51.3322385,12.37376243,GERMANY
Denglish,Billboard,Service,Billboard; Service,2017-07-19 14:45:42 EEST,51.33132488,12.37389939,GERMANY
English,Billboard,Food,Billboard; Food,2017-07-19 14:47:05 EEST,51.33134793,12.37237849,GERMANY
"English,Denglish",Handwritten,Food,Handwritten; Food,2017-07-19 14:42:17 EEST,51.33247186,12.37339765,GERMANY
English,Fixed Signage,Unknown,Fixed Signage; Unknown,2017-07-19 15:17:15 EEST,51.33219263,12.36784019,GERMANY
English,Unknown,Unknown,Unknown; Unknown,2017-07-19 15:19:24 EEST,51.3323548,12.36755079,GERMANY
Spanish,Handwritten,Unknown,Handwritten; Unknown,2017-07-19 15:28:18 EEST,51.33183965,12.36848585,GERMANY
English,Graffiti,Unknown,Graffiti; Unknown,2017-07-19 13:58:46 EEST,51.33221236,12.36850203,GERMANY
English,Graffiti,Unknown,Graffiti; Unknown,2017-07-19 14:00:24 EEST,51.33223352,12.36874019,GERMANY
English,Graffiti,Unknown,Graffiti; Unknown,2017-07-19 14:01:01 EEST,51.33241661,12.37017306,GERMANY
Unknown,Fixed Signage,Unknown,Fixed Signage; Unknown,2017-07-19 14:04:47 EEST,51.33299964,12.37121302,GERMANY
English,Fixed Signage,Food,Fixed Signage; Food,2017-07-19 14:06:20 EEST,51.33259334,12.37150126,GERMANY
English,Signage,Shopping,Signage; Shopping,2017-07-19 14:03:44 EEST,51.333159,12.373719,GERMANY
Denglish,Signage,Service,Signage; Service,2017-07-19 14:38:34 EEST,51.3399946,12.3745113,GERMANY
